일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2024/02/21","2653.31","-4.48","-0.17","2656.92","2670.95","2644.04","562144.0","9150151.0","2.160613141E9"
"2024/02/20","2657.79","-22.47","-0.84","2671.55","2673.84","2643.93","612668.0","9999238.0","2.164246684E9"
"2024/02/19","2680.26","31.50","1.19","2653.12","2683.39","2653.12","422699.0","9820891.0","2.18200086E9"
"2024/02/16","2648.76","34.96","1.34","2635.63","2648.76","2625.01","593842.0","1.0221804E7","2.156678844E9"
"2024/02/15","2613.80","-6.62","-0.25","2643.81","2643.86","2613.80","621363.0","1.0691024E7","2.12800741E9"
"2024/02/14","2620.42","-29.22","-1.10","2609.60","2627.31","2601.99","543525.0","1.0107666E7","2.134335215E9"
"2024/02/13","2649.64","29.32","1.12","2644.17","2656.87","2640.96","559385.0","1.3294429E7","2.157419255E9"
"2024/02/08","2620.32","10.74","0.41","2620.26","2629.51","2610.21","430009.0","1.2493448E7","2.132384708E9"
"2024/02/07","2609.58","33.38","1.30","2592.59","2625.24","2588.09","518182.0","1.149168E7","2.123763208E9"
"2024/02/06","2576.20","-15.11","-0.58","2584.20","2599.18","2563.87","411618.0","1.0386506E7","2.095645931E9"
"2024/02/05","2591.31","-24.00","-0.92","2612.77","2612.77","2562.50","511678.0","1.2476233E7","2.107741573E9"
"2024/02/02","2615.31","72.85","2.87","2559.40","2615.34","2559.39","596121.0","1.436815E7","2.126219526E9"
"2024/02/01","2542.46","45.37","1.82","2491.93","2542.46","2491.93","751075.0","1.3462482E7","2.067112302E9"
"2024/01/31","2497.09","-1.72","-0.07","2487.90","2502.45","2486.97","454574.0","9000430.0","2.030032669E9"
"2024/01/30","2498.81","-1.84","-0.07","2523.68","2528.54","2498.81","481809.0","8734431.0","2.032788176E9"
"2024/01/29","2500.65","22.09","0.89","2490.93","2516.92","2483.81","427440.0","8958521.0","2.034462573E9"
"2024/01/26","2478.56","8.22","0.33","2458.05","2502.61","2453.45","292662.0","7144493.0","2.009937343E9"
"2024/01/25","2470.34","0.65","0.03","2467.73","2474.01","2452.36","357234.0","8124338.0","2.003599595E9"
"2024/01/24","2469.69","-8.92","-0.36","2476.22","2476.22","2454.34","395464.0","7446527.0","2.003932327E9"
"2024/01/23","2478.61","14.26","0.58","2478.32","2482.84","2464.24","472284.0","8029400.0","2.010744286E9"
"2024/01/22","2464.35","-8.39","-0.34","2489.57","2490.69","2464.35","388046.0","8419916.0","1.999139798E9"
"2024/01/19","2472.74","32.70","1.34","2468.43","2479.00","2455.50","518807.0","9174537.0","2.005853267E9"
"2024/01/18","2440.04","4.14","0.17","2439.96","2453.97","2429.12","571507.0","8300178.0","1.978349881E9"
"2024/01/17","2435.90","-61.69","-2.47","2501.23","2503.91","2435.34","965595.0","1.1281598E7","1.975074608E9"
"2024/01/16","2497.59","-28.40","-1.12","2516.27","2524.35","2491.13","659579.0","8828509.0","2.024555061E9"
"2024/01/15","2525.99","0.94","0.04","2525.69","2536.06","2515.84","802102.0","8182707.0","2.047779701E9"
"2024/01/12","2525.05","-15.22","-0.60","2536.55","2543.83","2517.76","790177.0","8368766.0","2.047248114E9"
"2024/01/11","2540.27","-1.71","-0.07","2543.03","2557.30","2540.27","788423.0","1.366989E7","2.043896295E9"
"2024/01/10","2541.98","-19.26","-0.75","2563.97","2568.19","2539.82","570021.0","8795835.0","2.045533566E9"
"2024/01/09","2561.24","-6.58","-0.26","2598.31","2599.37","2556.00","791214.0","8896714.0","2.061575746E9"
"2024/01/08","2567.82","-10.26","-0.40","2584.23","2591.68","2566.34","320144.0","6763632.0","2.067290656E9"
"2024/01/05","2578.08","-8.94","-0.35","2586.89","2592.29","2572.60","522290.0","8384473.0","2.075148803E9"
